,이름,가격,평점,URL,파일이름
0,"청정원순창 100% 현미 태양초 찰고추장, 3kg, 1개","16,840",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2010617571580590-73bb1962-8c9a-46fe-8ad6-6581a98a1357.jpg,"/Users/choejong-gyu/Desktop/image//1등,청정원순창 100% 현미 태양초 찰고추장, 3kg, 1개.jpg"
1,"해남 땅끝산들 절임배추, 20kg","34,900",4.5,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xsxqjtyj/4a0060ed59714c73ae8a421011221646.jpg,"/Users/choejong-gyu/Desktop/image//2등,해남 땅끝산들 절임배추, 20kg.jpg"
2,"미트코리아 오겹살 수육용 덩어리 (냉동), 1개, 2kg","24,570",4.5,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/13/18/9/801c4a11-3540-40a2-9b4f-2159b9ea4d0d.jpg,"/Users/choejong-gyu/Desktop/image//3등,미트코리아 오겹살 수육용 덩어리 (냉동), 1개, 2kg.jpg"
3,"롯데웰푸드 오잉 노가리칩 청양마요맛, 60g, 16개","36,540",4.5,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/08/30/16/7/e7e2028f-7b47-47ae-9aa1-bab154e34036.jpg,"/Users/choejong-gyu/Desktop/image//4등,롯데웰푸드 오잉 노가리칩 청양마요맛, 60g, 16개.jpg"
4,"좋은소식 한우 1등급 칼로다진 이유식용 (냉장), 300g, 1개","15,980",4.5,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/968771554288861-394f38c1-4e68-480a-acba-f1cfeccfebcf.jpg,"/Users/choejong-gyu/Desktop/image//5등,좋은소식 한우 1등급 칼로다진 이유식용 (냉장), 300g, 1개.jpg"
5,"안동간 고등어 순살 (냉동), 180g, 3팩","15,530",4.5,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/03/18/1/bc1d4794-3529-484a-8f12-508f56d08e9f.jpg,"/Users/choejong-gyu/Desktop/image//6등,안동간 고등어 순살 (냉동), 180g, 3팩.jpg"
6,"매일유업 매일야채 고농축 토마토의 힘, 125ml, 24개","21,420",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3605847993191743-92261a49-d311-44f4-bf34-eccbc3972e5c.jpg,"/Users/choejong-gyu/Desktop/image//7등,매일유업 매일야채 고농축 토마토의 힘, 125ml, 24개.jpg"
7,"다향 훈제오리, 200g, 3팩","17,200",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/23/15/2/0af691b0-bac3-4e0e-ba68-48dc03321633.jpg,"/Users/choejong-gyu/Desktop/image//8등,다향 훈제오리, 200g, 3팩.jpg"
8,"웅진 자연은 토마토, 500ml, 40개","38,000",5.0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7041717322624411-100055a4-8c4c-47f6-bc38-18edc486c1d4.jpg,"/Users/choejong-gyu/Desktop/image//9등,웅진 자연은 토마토, 500ml, 40개.jpg"
9,"스마트팜 주스용 토마토, 5kg, 1박스","21,660",4.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/14/18/3/c4843743-bba8-4375-9f23-7301a769630e.jpg,"/Users/choejong-gyu/Desktop/image//10등,스마트팜 주스용 토마토, 5kg, 1박스.jpg"
10,"맛있는 오뚜기밥 발아현미, 210g, 24개","27,060",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/990064224012445-d7570d24-e9a5-4f1d-b502-677f56d8f530.jpg,"/Users/choejong-gyu/Desktop/image//11등,맛있는 오뚜기밥 발아현미, 210g, 24개.jpg"
11,"양반 현미밥, 130g, 24개","19,810",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1237954167000478-5b27108a-ee70-4e14-b605-181191a57bcb.jpg,"/Users/choejong-gyu/Desktop/image//12등,양반 현미밥, 130g, 24개.jpg"
