N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"70,500",200,+0.28%,100,"4,208,697","5,969,783",53.21,"9,087,721",13.45,17.07,
2,LG에너지솔루션,"411,000","18,000",-4.20%,500,"961,740","234,000",4.53,"287,021",69.72,5.75,
3,SK하이닉스,"130,500","2,500",+1.95%,"5,000","950,043","728,002",52.56,"2,564,681",-11.60,3.56,
4,삼성바이오로직스,"726,000","3,000",+0.41%,"2,500","516,723","71,174",10.23,"22,885",62.58,11.42,
5,삼성전자우,"56,700",200,-0.35%,100,"466,577","822,887",72.64,"396,012",10.82,N/A,
6,POSCO홀딩스,"447,500","13,000",-2.82%,"5,000","378,456","84,571",26.86,"476,841",30.16,6.11,
7,현대차,"173,700","1,000",-0.57%,"5,000","367,430","211,532",32.84,"248,412",5.03,9.36,
8,LG화학,"457,500","10,000",-2.14%,"5,000","322,960","70,592",43.84,"191,282",23.93,6.95,
9,NAVER,"194,700","3,500",-1.77%,100,"319,404","164,049",46.73,"670,740",43.84,3.29,
10,기아,"77,000",500,-0.65%,"5,000","309,574","402,044",38.10,"652,285",4.19,14.57,
11,삼성SDI,"420,000","19,500",-4.44%,"5,000","288,811","68,765",46.02,"382,464",14.05,12.52,
12,셀트리온,"157,200",800,-0.51%,"1,000","230,145","146,403",19.63,"542,720",41.92,13.35,
13,KB금융,"53,500",100,+0.19%,"5,000","215,878","403,511",72.70,"539,584",4.71,9.17,
14,포스코퓨처엠,"277,000","14,500",-4.97%,500,"214,573","77,463",6.13,"666,852",174.21,4.87,
15,삼성물산,"114,900","1,300",-1.12%,100,"213,245","185,592",19.12,"203,626",9.71,7.16,
16,현대모비스,"223,000","1,000",-0.45%,"5,000","210,256","94,285",38.30,"51,554",7.08,6.80,
17,카카오,"45,650",50,+0.11%,100,"202,912","444,496",25.74,"1,967,189",174.24,13.54,
18,신한지주,"35,300",500,+1.44%,"5,000","181,973","515,504",59.87,"570,528",4.09,9.70,
19,LG전자,"103,700",0,0.00%,"5,000","169,703","163,648",29.25,"310,149",45.72,6.61,
20,삼성생명,"69,700",400,+0.58%,500,"139,400","200,000",16.94,"96,022",6.54,5.73,
21,SK이노베이션,"131,300","4,700",-3.46%,"5,000","132,161","100,656",21.22,"423,127",-14.76,8.49,
22,LG,"81,300","1,400",-1.69%,"5,000","127,886","157,301",36.28,"61,730",12.40,8.48,
23,KT&G,"89,600",700,+0.79%,"5,000","119,905","133,822",42.38,"203,927",13.92,11.00,
24,하나금융지주,"40,800",300,+0.74%,"5,000","119,281","292,357",68.64,"467,565",3.14,10.06,
25,삼성화재,"250,000","1,500",+0.60%,500,"118,437","47,375",53.28,"45,053",7.45,9.70,
26,SK,"159,600",0,0.00%,200,"116,825","73,198",22.60,"82,208",-12.64,5.13,
27,HMM,"16,550",160,+0.98%,"5,000","114,036","689,039",9.03,"816,588",1.75,64.98,
28,삼성에스디에스,"144,100",400,+0.28%,500,"111,501","77,378",15.90,"67,771",11.04,14.23,
