,이름,기존 가격,할인된 가격,평점,평점 수
1,삼성전자 패밀리 냉동고 ZRS25LSLH (247L),"540,000","513,000",4.7,(상품평837건)
2,삼성전자 삼성 양문형 냉장고 RS84B5041W4 [846L],"1,050,000","945,000",4.7,(상품평107건)
3,삼성전자 일반 냉장고 RT62A7042SL (615L),"800,000","720,000",4.6,(상품평248건)
4,LG전자 일반냉장고 B602S52 (592L),"950,000","902,500",4.8,(상품평115건)
5,삼성전자 일반 냉장고 RT53T6035WW (525L),"600,000","540,000",4.7,(상품평152건)
6,"캐리어 [포토상품평이벤트] 클라윈드 슬림형 냉장고 KRFT-200ATMSW (200L, 실버)","299,000","269,100",4.6,(상품평33건)
7,LG전자 디오스 오브제 냉장고 T873MEE012.CKOR [870L],"2,200,000","1,980,000",4.6,(상품평3건)
8,삼성전자 일반냉장고 RT25NARAHS8 (255L),"430,000","387,000",4.8,(상품평111건)
9,루컴즈 일반 냉장고 R205M01-S [205L] / 하이마트배송설치,"285,000","256,500",4.8,(상품평29건)
10,LG전자 디오스 오브제컬렉션 와인셀러 W0812GG.AKOR (용량 : 81병),"2,370,000","2,170,000",5.0,(상품평4건)
11,오텍캐리어냉장유한회사 원룸용 31L 미니 냉장고·냉동고겸용 CFTD031MSM,"189,000","170,100",4.0,(상품평1건)
12,LG전자 [포토상품평이벤트] 오브제컬렉션 양문형 냉장고 S634MHH30Q.CKOR (652L),"1,366,000","1,229,400",4.8,(상품평308건)
13,"캐리어 [포토상품평이벤트] 클라윈드 슬림형 소형 저소음 냉장고 KRD-T182SEH1 (182L, 실버)","259,000","233,100",4.7,(상품평143건)
14,LG전자 [포토상품평이벤트] 일반냉장고 D262MBE32.AKOR (264L),"550,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
15,"캐리어 [포토상품평이벤트] 클라윈드 슬림형 냉장고 KRD-T155WEH1 (155L, 화이트)","229,000",할인된 가격 없음,4.8,(상품평141건)
16,오텍캐리어냉장유한회사 77병 캐리어 와인셀러 CWC077G2TV1,"869,000","825,550",5.0,(상품평3건)
17,루컴즈 콤비냉장고 R10H01-S [106L],"219,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
18,LG전자 [포토상품평이벤트] LG 디오스 오브제컬렉션 노크온 T873MKE312.CKOR (870L),"1,950,000","1,755,000",4.8,(상품평90건)
19,"캐리어 [포토상품평이벤트] 클라윈드 슬림형 냉장고 KRD-T182WEH1 (182L, 화이트)","249,000",할인된 가격 없음,4.8,(상품평200건)
20,오텍캐리어냉장유한회사 가정용 다목적 냉동고 CSBH-D145WO [145L],"289,000","274,550",4.0,(상품평2건)
21,LG전자 [포토상품평이벤트] 오브제컬렉션 노크온 냉장고 T873MWW312.CKOR [870L],"2,070,000","1,870,000",5.0,(상품평2건)
22,LG전자 [포토상품평이벤트] LG 디오스 오브제컬렉션 와인셀러 W0082GBE.AKOR [용량:8병],"440,000","409,200",5.0,(상품평4건)
23,"캐리어 [포토상품평이벤트] 클라윈드 슬림형 냉장고 KRFT-286ATMSW (286L, 실버)","389,000","350,100",4.7,(상품평7건)
24,오텍캐리어냉장유한회사 와인셀러 CSR24WM [8병],"99,000",할인된 가격 없음,5.0,(상품평2건)
25,하이메이드 4도어 일반 냉장고 HRF-SN470SM (470L) / 하이메이드 정직한 4도어,"779,000",할인된 가격 없음,4.5,(상품평47건)
26,LG전자 [포토상품평이벤트] 오브제 4도어 냉장고 T873MHH012.CKOR [870L],"1,700,000","1,615,000",4.9,(상품평31건)
27,LG전자 [포토상품평이벤트] 디오스 매직스페이스 오브제컬렉션 S634BB35Q.CKOR (652L),"2,300,000","2,100,000",4.7,(상품평140건)
28,하이메이드 글라스도어 콤비 냉장고 HRF-H244PW (244L),"399,000","359,100",4.6,(상품평234건)
29,쿠잉 [배송지연] 스탠드 냉동고 FR-191SS (164L),"339,000",할인된 가격 없음,평점 정보 없음,평점 수 없음
30,"삼성전자 비스포크 4도어 프리스탠딩 RF85C91DE01 (870L, 코타화이트)","2,860,000","2,660,000",평점 정보 없음,평점 수 없음
