,연월,customer_id,count_0,count_1,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,max,min,routine_flg,calc_date,membership_period,exit_date
0,201805,AS002855,5,4.0,,,,,,,,,,,,,,,,,,
1,201805,AS009373,4,3.0,,,,,,,,,,,,,,,,,,
2,201805,AS015233,7,,,,,,,,,,,,,,,,,,,
3,201805,AS015315,3,6.0,,,,,,,,,,,,,,,,,,
4,201805,AS015739,5,7.0,,,,,,,,,,,,,,,,,,
5,201805,AS015746,1,4.0,,,,,,,,,,,,,,,,,,
6,201805,AS019860,8,6.0,,,,,,,,,,,,,,,,,,
7,201805,AS024181,6,4.0,,,,,,,,,,,,,,,,,,
8,201805,AS025956,6,,,,,,,,,,,,,,,,,,,
9,201805,AS029624,8,,,,,,,,,,,,,,,,,,,
10,201805,AS030404,1,1.0,,,,,,,,,,,,,,,,,,
11,201805,AS031206,6,4.0,,,,,,,,,,,,,,,,,,
12,201805,AS036678,6,7.0,,,,,,,,,,,,,,,,,,
13,201805,AS038564,5,6.0,,,,,,,,,,,,,,,,,,
14,201805,AS040841,6,8.0,,,,,,,,,,,,,,,,,,
15,201805,AS040860,6,6.0,,,,,,,,,,,,,,,,,,
16,201805,AS046594,8,9.0,,,,,,,,,,,,,,,,,,
17,201805,AS047907,4,3.0,,,,,,,,,,,,,,,,,,
18,201805,AS055659,10,7.0,,,,,,,,,,,,,,,,,,
19,201805,AS055680,3,3.0,XXXXX,C01,M,2018-03-01,2018-06-30,CA1,1.0,종일,10500.0,일반,3.0,3.0,3.0,3.0,0.0,2018-06-30,3.0,2018-05-30 00:00:00
20,201805,AS057808,6,8.0,,,,,,,,,,,,,,,,,,
21,201805,AS058623,3,6.0,,,,,,,,,,,,,,,,,,
22,201805,AS060041,9,7.0,,,,,,,,,,,,,,,,,,
23,201805,AS065870,6,6.0,,,,,,,,,,,,,,,,,,
24,201805,AS067995,9,,,,,,,,,,,,,,,,,,,
25,201805,AS069263,10,,,,,,,,,,,,,,,,,,,
26,201805,AS069821,2,5.0,,,,,,,,,,,,,,,,,,
27,201805,AS070625,7,6.0,,,,,,,,,,,,,,,,,,
28,201805,AS071660,3,8.0,,,,,,,,,,,,,,,,,,
29,201805,AS073168,6,8.0,,,,,,,,,,,,,,,,,,
30,201805,AS073285,4,7.0,,,,,,,,,,,,,,,,,,
31,201805,AS077151,7,5.0,,,,,,,,,,,,,,,,,,
32,201805,AS080039,10,,,,,,,,,,,,,,,,,,,
33,201805,AS082596,7,7.0,,,,,,,,,,,,,,,,,,
